date,asset,1m,3m,5m
2023-09-22 09:55:51,000666.SZ,,,
2023-09-22 09:55:51,300965.SZ,,,
2023-09-22 09:55:54,000666.SZ,,,
2023-09-22 09:55:54,300965.SZ,,,
2023-09-22 09:55:57,000666.SZ,,,
2023-09-22 09:55:57,300965.SZ,,,
2023-09-22 09:56:00,000666.SZ,,,
2023-09-22 09:56:00,300965.SZ,,,
2023-09-22 09:56:03,000666.SZ,,,
2023-09-22 09:56:03,300965.SZ,,,
2023-09-22 09:56:06,000666.SZ,,,
2023-09-22 09:56:06,300965.SZ,,,
2023-09-22 09:56:09,000666.SZ,,,
2023-09-22 09:56:09,300965.SZ,,,
2023-09-22 09:56:12,000666.SZ,,,
2023-09-22 09:56:12,300965.SZ,,,
2023-09-22 09:56:15,000666.SZ,,,
2023-09-22 09:56:15,300965.SZ,,,
2023-09-22 09:56:18,000666.SZ,,,
2023-09-22 09:56:18,300965.SZ,,,
2023-09-22 09:56:21,000666.SZ,,,
2023-09-22 09:56:21,300965.SZ,,,
2023-09-22 09:56:24,000666.SZ,,,
2023-09-22 09:56:24,300965.SZ,,,
2023-09-22 09:56:27,000666.SZ,,,
2023-09-22 09:56:27,300965.SZ,,,
2023-09-22 09:56:30,000666.SZ,,,
2023-09-22 09:56:30,300965.SZ,,,
2023-09-22 09:56:33,000666.SZ,,,
2023-09-22 09:56:33,300965.SZ,,,
2023-09-22 09:56:36,000666.SZ,,,
2023-09-22 09:56:36,300965.SZ,,,
2023-09-22 09:56:39,000666.SZ,,,
2023-09-22 09:56:39,300965.SZ,,,
2023-09-22 09:56:42,000666.SZ,,,
2023-09-22 09:56:42,300965.SZ,,,
2023-09-22 09:56:45,000666.SZ,,,
2023-09-22 09:56:45,300965.SZ,,,
2023-09-22 09:56:48,000666.SZ,,,
2023-09-22 09:56:48,300965.SZ,,,
2023-09-22 09:56:51,000666.SZ,,,
2023-09-22 09:56:51,300965.SZ,,,
2023-09-22 09:56:54,000666.SZ,,,
2023-09-22 09:56:54,300965.SZ,,,
2023-09-22 09:56:57,000666.SZ,,,
2023-09-22 09:56:57,300965.SZ,,,
2023-09-22 09:57:00,000666.SZ,,,
2023-09-22 09:57:00,300965.SZ,,,
2023-09-22 09:57:03,000666.SZ,,,
2023-09-22 09:57:03,300965.SZ,,,
2023-09-22 09:57:06,000666.SZ,,,
2023-09-22 09:57:06,300965.SZ,,,
2023-09-22 09:57:09,000666.SZ,,,
2023-09-22 09:57:09,300965.SZ,,,
2023-09-22 09:57:12,000666.SZ,,,
2023-09-22 09:57:12,300965.SZ,,,
2023-09-22 09:57:15,000666.SZ,,,
2023-09-22 09:57:15,300965.SZ,,,
2023-09-22 09:57:18,000666.SZ,,,
2023-09-22 09:57:18,300965.SZ,,,
2023-09-22 09:57:21,000666.SZ,,,
2023-09-22 09:57:21,300965.SZ,,,
2023-09-22 09:57:24,000666.SZ,,,
2023-09-22 09:57:24,300965.SZ,,,
2023-09-22 09:57:27,000666.SZ,,,
2023-09-22 09:57:27,300965.SZ,,,
2023-09-22 09:57:30,000666.SZ,,,
2023-09-22 09:57:30,300965.SZ,,,
2023-09-22 09:57:33,000666.SZ,,,
2023-09-22 09:57:33,300965.SZ,,,
2023-09-22 09:57:36,000666.SZ,,,
2023-09-22 09:57:36,300965.SZ,,,
2023-09-22 09:57:39,000666.SZ,,,
2023-09-22 09:57:39,300965.SZ,,,
2023-09-22 09:57:42,000666.SZ,,,
2023-09-22 09:57:42,300965.SZ,,,
2023-09-22 09:57:45,000666.SZ,,,
2023-09-22 09:57:45,300965.SZ,,,
2023-09-22 09:57:48,000666.SZ,,,
2023-09-22 09:57:48,300965.SZ,,,
2023-09-22 09:57:51,000666.SZ,,,
2023-09-22 09:57:51,300965.SZ,,,
2023-09-22 09:57:54,000666.SZ,,,
2023-09-22 09:57:54,300965.SZ,,,
2023-09-22 09:57:57,000666.SZ,,,
2023-09-22 09:57:57,300965.SZ,,,
2023-09-22 09:58:00,000666.SZ,,,
2023-09-22 09:58:00,300965.SZ,,,
2023-09-22 09:58:03,000666.SZ,,,
2023-09-22 09:58:03,300965.SZ,,,
2023-09-22 09:58:06,000666.SZ,,,
2023-09-22 09:58:06,300965.SZ,,,
2023-09-22 09:58:09,000666.SZ,,,
2023-09-22 09:58:09,300965.SZ,,,
2023-09-22 09:58:12,000666.SZ,,,
2023-09-22 09:58:12,300965.SZ,,,
2023-09-22 09:58:15,000666.SZ,,,
2023-09-22 09:58:15,300965.SZ,,,
2023-09-22 09:58:18,000666.SZ,,,
2023-09-22 09:58:18,300965.SZ,,,
2023-09-22 09:58:21,000666.SZ,,,
2023-09-22 09:58:21,300965.SZ,,,
2023-09-22 09:58:24,000666.SZ,,,
2023-09-22 09:58:24,300965.SZ,,,
2023-09-22 09:58:27,000666.SZ,,,
2023-09-22 09:58:27,300965.SZ,,,
2023-09-22 09:58:30,000666.SZ,,,
2023-09-22 09:58:30,300965.SZ,,,
2023-09-22 09:58:33,000666.SZ,,,
2023-09-22 09:58:33,300965.SZ,,,
2023-09-22 09:58:36,000666.SZ,,,
2023-09-22 09:58:36,300965.SZ,,,
2023-09-22 09:58:39,000666.SZ,,,
2023-09-22 09:58:39,300965.SZ,,,
2023-09-22 09:58:42,000666.SZ,,,
2023-09-22 09:58:42,300965.SZ,,,
2023-09-22 09:58:45,000666.SZ,,,
2023-09-22 09:58:45,300965.SZ,,,
2023-09-22 09:58:48,000666.SZ,,,
2023-09-22 09:58:48,300965.SZ,,,
2023-09-22 09:58:51,000666.SZ,,,
2023-09-22 09:58:51,300965.SZ,,,
2023-09-22 09:58:54,000666.SZ,,,
2023-09-22 09:58:54,300965.SZ,,,
2023-09-22 09:58:57,000666.SZ,,,
2023-09-22 09:58:57,300965.SZ,,,
2023-09-22 09:59:00,000666.SZ,,,
2023-09-22 09:59:00,300965.SZ,,,
2023-09-22 09:59:03,000666.SZ,,,
2023-09-22 09:59:03,300965.SZ,,,
2023-09-22 09:59:06,000666.SZ,,,
2023-09-22 09:59:06,300965.SZ,,,
2023-09-22 09:59:09,000666.SZ,,,
2023-09-22 09:59:09,300965.SZ,,,
2023-09-22 09:59:12,000666.SZ,,,
2023-09-22 09:59:12,300965.SZ,,,
2023-09-22 09:59:15,000666.SZ,,,
2023-09-22 09:59:15,300965.SZ,,,
2023-09-22 09:59:18,000666.SZ,,,
2023-09-22 09:59:18,300965.SZ,,,
2023-09-22 09:59:21,000666.SZ,,,
2023-09-22 09:59:21,300965.SZ,,,
2023-09-22 09:59:24,000666.SZ,,,
2023-09-22 09:59:24,300965.SZ,,,
2023-09-22 09:59:27,000666.SZ,,,
2023-09-22 09:59:27,300965.SZ,,,
2023-09-22 09:59:30,000666.SZ,,,
2023-09-22 09:59:30,300965.SZ,,,
2023-09-22 09:59:33,000666.SZ,,,
2023-09-22 09:59:33,300965.SZ,,,
2023-09-22 09:59:36,000666.SZ,,,
2023-09-22 09:59:36,300965.SZ,,,
2023-09-22 09:59:39,000666.SZ,,,
2023-09-22 09:59:39,300965.SZ,,,
2023-09-22 09:59:42,000666.SZ,,,
2023-09-22 09:59:42,300965.SZ,,,
2023-09-22 09:59:45,000666.SZ,,,
2023-09-22 09:59:45,300965.SZ,,,
2023-09-22 09:59:48,000666.SZ,,,
2023-09-22 09:59:48,300965.SZ,,,
2023-09-22 09:59:51,000666.SZ,,,
2023-09-22 09:59:51,300965.SZ,,,
2023-09-22 09:59:54,000666.SZ,,,
2023-09-22 09:59:54,300965.SZ,,,
2023-09-22 09:59:57,000666.SZ,,,
2023-09-22 09:59:57,300965.SZ,,,
2023-09-22 10:00:00,000666.SZ,,,
2023-09-22 10:00:00,300965.SZ,,,
2023-09-22 10:00:03,000666.SZ,,,
2023-09-22 10:00:03,300965.SZ,,,
2023-09-22 10:00:06,000666.SZ,,,
